geo_feature_id,district_name,state_name,normalized_district,normalized_state,state_code,latitude,longitude
269,Charki Dadri,HR,charki_dadri,hr,,28.578112171532144,76.15671717177594
270,Bokaro,JH,bokaro,jh,,23.69661150638605,85.99429543647378
271,Chatra,JH,chatra,jh,,24.117513361178123,84.93401848921071
272,Deoghar,JH,deoghar,jh,,24.321313303670337,86.75942386792616
273,Dhanbad,JH,dhanbad,jh,,23.84485816039956,86.42808321973928
274,Dumka,JH,dumka,jh,,24.30029143860782,87.24556511775516
275,East Singhbum,JH,east_singhbum,jh,,22.6057544134978,86.4962483186328
276,Garhwa,JH,garhwa,jh,,24.03975907991104,83.72657780769572
277,Giridih,JH,giridih,jh,,24.287465225527644,86.09827582042467
278,Godda,JH,godda,jh,,24.830880582792112,87.31728919814326
279,Gumla,JH,gumla,jh,,23.079574028156124,84.54448493797452
280,Hazaribagh,JH,hazaribagh,jh,,24.083378018766318,85.44347836709589
281,Jamtara,JH,jamtara,jh,,23.97231957989578,86.92884265152227
282,Koderma,JH,koderma,jh,,24.513368912033183,85.65519243979239
283,Latehar,JH,latehar,jh,,23.717040424043066,84.49940408469264
284,Lohardaga,JH,lohardaga,jh,,23.491580367867833,84.66486991428957
285,Pakur,JH,pakur,jh,,24.58922046303186,87.6776914407223
286,Palamu,JH,palamu,jh,,24.191056972774746,84.19695531369305
287,Ranchi,JH,ranchi,jh,,23.290706811486633,85.35474021071727
288,Sahebganj,JH,sahebganj,jh,,24.96322727218373,87.65807139563479
289,Saraikela Kharsawan,JH,saraikela_kharsawan,jh,,22.851282478278403,85.89693205285474
290,Simdega,JH,simdega,jh,,22.620315982555596,84.58697799018563
291,West Singhbhum,JH,west_singhbhum,jh,,22.39282763563811,85.51968554971269
292,Khunti,JH,khunti,jh,,22.972763528684823,85.26354229596579
293,Ramgarh,JH,ramgarh,jh,,23.66244768972112,85.56840417904483
294,Anantnag,JK,anantnag,jk,,33.86013447907022,75.31938779805917
295,Budgam,JK,budgam,jk,,33.926542444114986,74.6486752150836
296,Baramulla,JK,baramulla,jk,,34.154191017752744,74.29944530047601
297,Doda,JK,doda,jk,,33.08952619458523,75.76745506372448
298,Jammu,JK,jammu,jk,,32.79727807636277,74.73778557765816
299,Kathua,JK,kathua,jk,,32.578463317350156,75.55818605532264
300,Kupwara,JK,kupwara,jk,,34.491615284011736,74.14100856238882
301,Poonch,JK,poonch,jk,,33.73659127206885,74.10464304192519
302,Pulwama,JK,pulwama,jk,,33.92171127611216,74.97814966305184
303,Rajouri,JK,rajouri,jk,,33.2674616143107,74.42105224133125
304,Srinagar,JK,srinagar,jk,,34.108734097561204,74.85449751793206
305,Udhampur,JK,udhampur,jk,,32.852481334486455,75.31728380801279
306,Kishtwar,JK,kishtwar,jk,,33.566523297297614,75.99949609021668
307,Ramban,JK,ramban,jk,,33.334639527740585,75.18741418601235
308,Kulgam,JK,kulgam,jk,,33.607908300161924,74.8583673689948
309,Bandipora,JK,bandipora,jk,,34.42869763735134,74.91831928236905
310,Samba,JK,samba,jk,,32.58259317364229,75.09330252238611
311,Shopian,JK,shopian,jk,,33.738120320117076,74.83795318021829
312,Ganderbal,JK,ganderbal,jk,,34.242725266393315,75.0276173537854
313,Reasi,JK,reasi,jk,,33.21005454105009,74.77938057959184
314,Bagalkote,KA,bagalkote,ka,,16.182622458963966,75.64153403147893
315,Bengaluru Urban,KA,bengaluru_urban,ka,,12.932207566534622,77.5893039468281
316,Bengaluru Rural,KA,bengaluru_rural,ka,,13.192728941256913,77.61495140321354
317,Belagavi,KA,belagavi,ka,,16.163090632745945,74.74511323783894
318,Ballari,KA,ballari,ka,,15.096605078933711,76.49393457973976
319,Bidar,KA,bidar,ka,,17.964138301394726,77.20963259690497
320,Vijayapura,KA,vijayapura,ka,,16.83400344061828,75.9637536516444
321,Chamarajanagara,KA,chamarajanagara,ka,,11.948199052206999,77.0312305087757
322,Chikkamagaluru,KA,chikkamagaluru,ka,,13.422980184940947,75.66826021874706
323,Chitradurga,KA,chitradurga,ka,,14.275277992577792,76.57228605847577
324,Dakshina Kannada,KA,dakshina_kannada,ka,,12.81392525477069,75.26529232755514
325,Davangere,KA,davangere,ka,,14.414789187433582,75.96266927923317
326,Dharwad,KA,dharwad,ka,,15.352451732108758,75.12203747796231
327,Gadag,KA,gadag,ka,,15.513981733963975,75.6663065187135
328,Kalaburagi,KA,kalaburagi,ka,,17.24199000015255,76.86887053938389
329,Hassan,KA,hassan,ka,,12.95826580478379,76.10078601433742
330,Haveri,KA,haveri,ka,,14.732086081809893,75.39698569857056
331,Kodagu,KA,kodagu,ka,,12.401102061312113,75.77840639566061
332,Kolar,KA,kolar,ka,,13.132942165463042,78.21252978029243
333,Koppal,KA,koppal,ka,,15.637576285893402,76.17577506706532
334,Mandya,KA,mandya,ka,,12.592190857026738,76.80636223759164
335,Mysuru,KA,mysuru,ka,,12.24077718406896,76.53414212372532
336,Raichur,KA,raichur,ka,,16.08207782461997,76.89134101228542
337,Shivamogga,KA,shivamogga,ka,,14.06555220103317,75.20390558907704
338,Tumakuru,KA,tumakuru,ka,,13.451936916932715,76.95585600625347
339,Udupi,KA,udupi,ka,,13.482997892015005,74.92768374269512
340,Uttara Kannada,KA,uttara_kannada,ka,,14.77045920475689,74.61987139741323
341,Chikkaballapura,KA,chikkaballapura,ka,,13.576126000169067,77.83558430834
342,Ramanagara,KA,ramanagara,ka,,12.733067925877219,77.33263442509855
343,Yadgir,KA,yadgir,ka,,16.635912786208895,76.94843558209716
344,Alappuzha,KL,alappuzha,kl,,9.397902666175343,76.50486628014748
345,Ernakulam,KL,ernakulam,kl,,10.08370057021896,76.64572011045345
346,Idukki,KL,idukki,kl,,9.786263087048667,77.0803213210649
347,Kannur,KL,kannur,kl,,11.989116253699008,75.57435110346786
348,Kasaragod,KL,kasaragod,kl,,12.506448413492347,75.19618839747721
349,Kollam,KL,kollam,kl,,8.967383711697915,76.90259915481788
350,Kottayam,KL,kottayam,kl,,9.600007683721197,76.70011628507865
351,Kozhikode,KL,kozhikode,kl,,11.496550400505235,75.85161189751948
352,Malappuram,KL,malappuram,kl,,11.102804087801657,76.16659581706882
353,Palakkad,KL,palakkad,kl,,10.80201692712195,76.51384433760903
354,Pathanamthitta,KL,pathanamthitta,kl,,9.29367672083081,76.87173181530954
